objectid,Pulau,Pejabat,id_prov,Provinsi,id_kab,Kabupaten,Jenis Izin,Badan Usaha,Nama Perusahaan,Kode WIUP,Nomor SK,Berlaku,Berakhir,Tahapan,Luas (Ha),Komoditas,kode_golongan,kode_jnskom,Status CNC,Remark,kode_wil,Lokasi Tambang;;;;
286,KALIMANTAN,MENTERI,62,KALIMANTAN TENGAH,12,MURUNG RAYA,PKP2B,PT,KALTENG COAL,1300003032014073,171.K/30/DJB/2020,2019-10-24,2049-10-23,OPERASI PRODUKSI,24988.0,BATUBARA,3,03,-,GEN III,00PB0259,MURUNG RAYA;;;;
"288,SUMATERA,MENTERI,16,SUMATERA SELATAN,03,KAB. MUARA ENIM,PKP2B,PT,PENDOPO ENERGI BATUBARA,1100003032014124,686.K/30/DJB/2011,2011-03-29,2039-05-03,OPERASI PRODUKSI,17840.0,BATUBARA,3,03,-,GEN III,00PB0277,""MUBA,MUARA ENIM""";;;;
"289,SUMATERA,MENTERI,16,SUMATERA SELATAN,04,KAB. MUARA ENIM,IUP,PT,DIANRANA PETROJASA,3116043032014004,81201170035050004                                                                                   ,2024-05-31,2034-06-02,OPERASI PRODUKSI,994.6,BATUBARA,3,03,CNC-1,,,""KEC. LAHAT, KAB. LAHAT""";;;;
"362,SULAWESI,GUBERNUR,75,GORONTALO,04,KAB. PAHUWATO,IUP,PT,PUNCAK EMAS TANI SEJAHTERA,3475042062014006,30/DPM-ESDM-TRANS/PER-IUP-OP/IV/2020                                                                ,2020-04-20,2032-11-23,OPERASI PRODUKSI,100.0,EMAS,2,06,CNC-1,,,""DESA HULAWA, KECAMATAN BUNTULIA""";;;;
"374,SULAWESI,Bupati,75,GORONTALO,03,KAB. BONE BOLANGO,IUP,PT,CELEBES BONE MINERAL,3475032072014001,240/KEP/BUP.BB/114/2013,2013-09-01,2026-10-28,EKSPLORASI,13195.0,Tembaga,2,07,CNC-13,,,""KEC. KABILA BONE, BONE BOLANGO""";;;;
"389,KALIMANTAN,MENTERI,65,KALIMANTAN UTARA,02,KAB. MALINAU,IUP,PT,MITRABARA ADIPERDANA,3364063032014001,1122/1/IUP/PMDN/2022                                                                                ,2022-12-12,2033-07-31,OPERASI PRODUKSI,1736.25,BATUBARA,3,03,CNC-1,,,""DESA LOREH, KEC MALINAU SELATAN""";;;;
"395,KALIMANTAN,GUBERNUR,61,KALIMANTAN BARAT,03,SANGGAU,IUP,PT,BUMI KHATULISTIWA BAUKSIT,3361032172014019,503/28/IUP-OP/DPMPTSP-C.II/2019,2019-07-29,2034-03-03,OPERASI PRODUKSI,3349.0,BAUKSIT,2,17,CNC-1, ,443/2009/SGU,""KEC. MELIAU, KAB. SANGGAU""";;;;
405,SUMATERA,MENTERI,15,JAMBI,03,KAB. SAROLANGUN,IUP,PT,ANEKA TAMBANG TBK,3115032062014050,164/1/IUP/PMDN/2020                                                                                 ,2020-05-12,2027-03-29,EKSPLORASI,4556.0,EMAS,2,06,CNC-1,,,SAROLANGUN;;;;
"410,SUMATERA,BUPATI,16,SUMATERA SELATAN,08,OGAN KOMERING ULU TIMUR,IUP,PT,PERSADA BERAU JAYA SAKTI,3116083032014001,31 TAHUN 2011,2011-02-03,2031-02-03,OPERASI PRODUKSI,11050.0,BATUBARA,3,03,CNC-7, , ,""MADANG SUKU I, BELITANG MADANG RAYA DAN SEMENDAWAI SUKU II""";;;;
"416,SUMATERA,GUBERNUR,15,JAMBI,09,KAB. TEBO,IUP,PT,TEBO DWI LESTARI,3115093032014010,206/KEP.KA.BPMD-PPT-4/IUP/VII/2016,2016-07-10,2027-07-28,OPERASI PRODUKSI,2015.0,BATUBARA,3,03,CNC-1, ,309/ESDM,""DESA MUARA SEKALO, KEC. SUMAY,KAB.MUARA TEBO""";;;;
"418,SUMATERA,BUPATI,16,SUMATERA SELATAN,05,KAB. MUSI RAWAS UTARA,IUP,PT,BANYAN KOALINDO LESTARI,3116053032014001,31/KPTS/DISTAMBEN/2010,2010-04-18,2030-04-17,OPERASI PRODUKSI,10980.0,BATUBARA,3,03,CNC-1, ,KW APP 002,""DESA BERINGIN MAKMUR II, KEC RAWAS ILIR, KAB. MUSI RAWAS""";;;;
"421,SULAWESI,GUBERNUR,,SULAWESI TENGAH,08,KAB. PARIGI MOUTONG,IUP,PT,TRIO KENCANA,3472082062014006,540/426/IUP-OP/DPMPTSP/2020,2020-08-27,2040-08-26,OPERASI PRODUKSI,15725.0,Emas,2,06,CNC-1,,,""KEC. TORIBULU, KEC. KASIMBAR, DAN KEC. TINOMBO SELATAN""";;;;
422,KALIMANTAN,GUBERNUR,63,KALIMANTAN SELATAN,05,TAPIN,IUP,PT,BHUMI RANTAU ENERGI,3363053032014002,503/791/DPMPTSP/IV/10/2018,2018-10-22,2030-06-23,OPERASI PRODUKSI,2096.0,BATUBARA,3,03,CNC-1, ,TP10A02OP,KEC. LOKPAIKATIANI DAN BUNGUR KAB. TAPIN;;;;
"423,KALIMANTAN,BUPATI,64,KALIMANTAN TIMUR,03,BERAU,IUP,PT,BERAU BARA ENERGI,3364033032014010,207 TAHUN 2010,2010-04-06,2030-04-06,OPERASI PRODUKSI,5000.0,BATUBARA,3,03,CNC-1, ,540/GT.09-OP/DPE.PU/III/10,""KAMPUK TASUK, KEC. GUNUNG TABUR, KAB. BERAU""";;;;
"431,SUMATERA,BUPATI,15,JAMBI,06,KAB. TANJUNG JABUNG BARAT,IUP,PT,TERMINALINDO IDAMAN PERMAI,3115063032014012,24 TAHUN 2011,2011-01-25,2031-01-25,OPERASI PRODUKSI,4070.0,BATUBARA,3,03,CNC-1, , ,""DESA LUBUK BERNAI, KEC. BATANG ASAM, KAB. TANJUNG JABUNG BARAT""";;;;
"435,KALIMANTAN,GUBERNUR,61,KALIMANTAN BARAT,03,SANGGAU,IUP,PT,SETIA MINERAL RESOURCES,3361032062014029,503/14/IUP-OP.P/DPMPTSP-C.II/2019,2019-09-03,2033-04-14,OPERASI PRODUKSI,5230.0,EMAS DMP,2,06,CNC-1, ,132/2010/SGU,""KEC. SEKAYAM DAN NOYAN, KAB. SANGGAU""";;;;
444,SULAWESI,MENTERI,72,SULAWESI TENGAH,06,KAB. MOROWALI,IUP,PT,ANG AND FANG BROTHER,3472062122014054,352/1/IUP/PMDN/2022                                                                                 ,2022-02-16,2032-04-19,OPERASI PRODUKSI,775.0,NIKEL,2,12,I.T,,,DESA LALAMPU KEC.BAHODOPI;;;;
"464,JAWA DAN BALI,GUBERNUR,33,JAWA TENGAH,02,KAB. BANYUMAS,IUP,PT,SINAR TAMBANG ARTHALESTARI,3233024402014027,503/IUP-OP/2332.4.40.14/2015                                                                        ,2015-05-13,2035-05-13,OPERASI PRODUKSI,669.0,BATU GAMPING UNTUK INDUSTRI,6,09,CNC,,,""DESA PANINGKABAN & DESA KARANGKEMOJING KECAMATAN GUMELAR";" DESA DARMAKRADENAN, KARANGBAWANG, TIPAR KIDUL KECAMATAN AJIBARANG""";;;
468,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,02,KAB. BELITUNG,IUP,PT,PRIMA BUNDIARTA NUSA,3119025402014113,1686/1/IUP/PMDN/2021                                                                                ,2021-12-06,2026-11-11,OPERASI PRODUKSI,123.1,KERIKIL BERPASIR ALAMI (SIRTU),5,40,CNC-25,,,DESA PADANG KANDIS KEC.MEMBALONG;;;;
"478,KALIMANTAN,MENTERI,64,KALIMANTAN TIMUR,02,KAB. KUTAI KARTANEGARA,IUP,PT,ARZARA BARAINDO ENERGITAMA,3364023032014046,91201083315120003                                                                                   ,2024-06-27,2034-12-01,OPERASI PRODUKSI,3409.0,BATUBARA,3,03,CNC-1,,,""KEL. MULAWARMAN, BUANA JAYA, KERTA BUANA, KEC. TENGGARONG SEBERANG, KAB. KUTAI KARTANEGARA""";;;;
"498,SULAWESI,GUBERNUR,74,SULAWESI TENGGARA,05,KONAWE SELATAN,IUP,PT,LAEYA CIPTA GUNA,3474052122014016,606/DPMPTSP/X/2019,2019-10-08,2029-10-08,OPERASI PRODUKSI,1185.0,NIKEL DMP,2,12,CNC-16, ,KW.74.05,""DESA LABOKEO, KEC. LAEYA, KONA""";;;;
"499,SULAWESI,GUBERNUR,74,SULAWESI TENGGARA,05,KONAWE SELATAN,IUP,PT,WIJAYA INTI NUSANTARA,3474052122014025,820/DPMPTSP/XI/2019,2019-11-28,2029-11-27,OPERASI PRODUKSI,1931.0,NIKEL DMP,2,12,CNC-6, ,7405.212.2014.005,""DESA TOROBULU, KEC. LAEYA, KON""";;;;
"500,SULAWESI,BUPATI,74,SULAWESI TENGGARA,05,KONAWE SELATAN,IUP,PT,INTEGRA MINING NUSANTARA,3474052122014013,734 TAHUN 2010,2010-01-10,2029-01-10,OPERASI PRODUKSI,100.0,NIKEL DMP,2,12,CNC-1,,KW.74.05,""DESA WONUA KONGGA, KEC. LAEYA,""";;;;
